timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413423.193,26880.0,21760.0,0.212963,55.164699,202.117202,5,108,Critical,heuristic,,1472,54,1,0.172,0.086,0,2
1778413423.438,23808.0,19712.0,0.206186,60.503727,200.660012,4,97,Critical,heuristic,,1280,50,0,0.238,0.089,0,0
1778413423.695,24064.0,22528.0,0.102041,53.256677,200.732573,6,98,Critical,heuristic,,640,59,0,0.286,0.086,0,0
1778413423.939,24320.0,19968.0,0.204082,61.021236,203.98924,4,98,Critical,heuristic,,1280,55,0,0.197,0.092,0,0
1778413424.191,23296.0,20992.0,0.098901,54.36781,210.189342,4,91,Critical,heuristic,,576,52,0,0.152,0.084,0,0
1778413424.438,28416.0,20480.0,0.279279,60.130748,193.303421,6,111,Critical,heuristic,,1984,50,0,0.138,0.076,0,0
1778413424.688,23808.0,22528.0,0.153846,61.686424,189.717488,5,104,Critical,heuristic,,1024,61,0,0.279,0.08,0,0
1778413424.939,27136.0,21760.0,0.234234,55.096242,193.455287,4,111,Critical,heuristic,,1664,59,1,0.144,0.077,0,2
1778413425.19,24320.0,22272.0,0.201835,42.943653,173.833951,5,109,Critical,heuristic,,1408,58,0,0.231,0.078,0,0
1778413425.44,22784.0,20736.0,0.119565,56.840102,173.360283,6,92,Critical,heuristic,,704,57,1,0.192,0.078,0,1
1778413425.691,26112.0,20736.0,0.235849,50.041125,179.984208,4,106,Critical,heuristic,,1600,52,1,0.188,0.08,0,1
1778413425.942,26880.0,21760.0,0.220183,60.462666,169.683145,4,109,Critical,heuristic,,1536,55,0,0.194,0.081,0,0
1778413426.188,23040.0,21504.0,0.115789,61.770317,179.365774,5,95,Critical,heuristic,,704,59,1,0.143,0.075,0,1
1778413426.444,24064.0,22784.0,0.118812,50.151217,172.782633,6,101,Critical,heuristic,,768,57,0,0.158,0.075,0,0
1778413426.689,27392.0,20992.0,0.233645,61.781177,179.138274,4,107,Critical,heuristic,,1600,55,1,0.168,0.071,0,1
